Vernier Format 2
Untitled.cmbl 4/3/2018 15:17:04 .
Latest
Time	Potential
t	Pot
s	V

0	5.02910614014
0.1	5.02910614014
0.2	5.03234863281
0.3	4.26959991455
0.4	2.7759552002
0.5	1.80435180664
0.6	1.16500854492
0.7	0.750541687012
0.8	0.481414794922
0.9	0.307464599609
1	0.196647644043
1.1	0.127029418945
1.2	0.0795364379883
1.3	0.0511169433594
1.4	0.0320434570313
1.5	0.0226974487305
1.6	0.0131607055664
1.7	0.00991821289063
1.8	0.00362396240234
1.9	0.00362396240234
2	0.00362396240234
2.1	0.000381469726563
