"Time","Potential"
0.0,5.029
0.1,5.029
0.2,5.032
0.3,4.270
0.4,2.776
0.5,1.804
0.6,1.165
0.7,0.751
0.8,0.481
0.9,0.307
1.0,0.197
1.1,0.127
1.2,0.080
1.3,0.051
1.4,0.032
1.5,0.023
1.6,0.013
1.7,0.010
1.8,0.004
1.9,0.004
2.0,0.004
2.1,0.000
