Vernier Format 2
Untitled.cmbl 4/3/2018 15:21:31 .
Latest
Time	Potential
t	Pot
s	V

0	5.01651763916
0.1	5.01651763916
0.2	5.01651763916
0.3	4.94365692139
0.4	4.4563293457
0.5	4.01954650879
0.6	3.62720489502
0.7	3.26633453369
0.8	2.94036865234
0.9	2.63977050781
1	2.37083435059
1.1	2.1240234375
1.2	1.89933776855
1.3	1.69353485107
1.4	1.50680541992
1.5	1.33590698242
1.6	1.18083953857
1.7	1.04160308838
1.8	0.915145874023
1.9	0.804328918457
2	0.699806213379
2.1	0.608062744141
2.2	0.525856018066
2.3	0.44994354248
2.4	0.383377075195
2.5	0.326347351074
2.6	0.275802612305
2.7	0.231552124023
2.8	0.190353393555
2.9	0.15869140625
3	0.130271911621
3.1	0.101661682129
3.2	0.0795364379883
3.3	0.0606536865234
3.4	0.0448226928711
3.5	0.0320434570313
3.6	0.0194549560547
3.7	0.00991821289063
3.8	0.000381469726563
3.9	-0.00896453857422
4	-0.0154495239258
4.1	-0.0217437744141
