"Time","Potential"
0.0,5.017
0.1,5.017
0.2,5.017
0.3,4.944
0.4,4.456
0.5,4.020
0.6,3.627
0.7,3.266
0.8,2.940
0.9,2.640
1.0,2.371
1.1,2.124
1.2,1.899
1.3,1.694
1.4,1.507
1.5,1.336
1.6,1.181
1.7,1.042
1.8,0.915
1.9,0.804
2.0,0.700
2.1,0.608
2.2,0.526
2.3,0.450
2.4,0.383
2.5,0.326
2.6,0.276
2.7,0.232
2.8,0.190
2.9,0.159
3.0,0.130
3.1,0.102
3.2,0.080
3.3,0.061
3.4,0.045
3.5,0.032
3.6,0.019
3.7,0.010
3.8,0.000
3.9,-0.009
4.0,-0.015
4.1,-0.022
